CustomerID,Churn,Country,State,Retired,HasPartner,HasDependents,Education,Gender,BaseCharges,DOC,TotalCharges,DOE,ElectronicBilling,ContractType,PaymentMethod,TypeOfService,ServiceDetails
Cust4783,No,India,Maharashtra,0,2,1,Masters,Female,272.5,41030,272.5,40883,No,Month-to-month,Electronic check,StreamingMovies,No
Cust6236,No,India,Maharashtra,0,1,1,Masters,Female,377.75,41030,23539.25,39023,No,Two year,Credit card (automatic),StreamingMovies,No
Cust5640,No,India,Maharashtra,0,2,2,ProfessionalQalification,Female,246,41030,518.5,40853,No,Month-to-month,Mailed check,MultipleLines,No
Cust6475,No,India,Maharashtra,0,1,1,Graduation,Female,123.25,41030,5856.5,39563,Yes,Two year,Credit card (automatic),InternetServiceCategory,No
Cust5829,No,India,Maharashtra,0,2,2,Highschool or below,Female,103.5,41030,199.25,40853,Yes,Month-to-month,Bank transfer (automatic),OnlineBackup,No internet service
Cust6233,No,India,Maharashtra,1,1,2,Graduation,Female,527,41030,35178,38903,Yes,One year,Credit card (automatic),StreamingMovies,Yes
Cust2613,Yes,India,Maharashtra,0,2,2,Graduation,Female,355,41030,4570,40493,Yes,Month-to-month,Credit card (automatic),HasPhoneService,1
Cust2372,No,India,Maharashtra,0,1,2,Graduation,Female,525,41030,37949,38753,Yes,Two year,Credit card (automatic),HasPhoneService,1
Cust6073,No,India,Maharashtra,0,1,1,ProfessionalQalification,Male,100,41030,4304.25,39593,No,One year,Bank transfer (automatic),OnlineSecurity,No internet service
Cust2065,No,India,Maharashtra,0,2,2,Highschool or below,Female,403,41030,21499.75,39293,No,Two year,Electronic check,OnlineBackup,No
Cust2264,No,India,Maharashtra,0,2,2,Masters,Female,179.5,41030,179.5,40883,No,Month-to-month,Mailed check,StreamingTelevision,No
Cust4671,No,India,Maharashtra,0,2,2,Masters,Male,125.75,41030,1659.25,40523,Yes,Month-to-month,Bank transfer (automatic),MultipleLines,No phone service
Cust5810,Yes,India,Maharashtra,0,1,2,Highschool or below,Female,243.75,41030,2211,40643,Yes,Month-to-month,Electronic check,InternetServiceCategory,DSL
Cust1516,No,India,Maharashtra,0,2,2,Highschool or below,Male,408.5,41030,12743.25,39983,No,One year,Credit card (automatic),OnlineBackup,No
Cust1506,No,India,Maharashtra,1,2,2,Highschool or below,Female,457.75,41030,18368,39713,Yes,Month-to-month,Electronic check,HasPhoneService,1
Cust1559,No,India,Maharashtra,0,1,2,Graduation,Male,376.75,41030,23646.5,39083,No,Two year,Credit card (automatic),StreamingTelevision,No
Cust1224,No,India,Maharashtra,0,1,1,Graduation,Male,275.5,41030,7330.5,40163,Yes,One year,Mailed check,TechnicalSupport,Yes
Cust5648,No,India,Maharashtra,0,1,1,Graduation,Male,448.5,41030,31696.5,38753,No,Two year,Credit card (automatic),OnlineSecurity,Yes
Cust1308,No,India,Maharashtra,0,1,1,Highschool or below,Male,98,41030,4044.75,39713,No,Two year,Mailed check,StreamingTelevision,No internet service
Cust3781,No,India,Maharashtra,0,2,1,Highschool or below,Male,225,41030,6212.25,40043,Yes,Month-to-month,Mailed check,TechnicalSupport,Yes
Cust4435,Yes,India,Maharashtra,0,1,1,Highschool or below,Male,418.75,41030,10353,40133,Yes,Month-to-month,Electronic check,DeviceProtection,No
Cust1518,Yes,India,Maharashtra,1,2,2,Highschool or below,Male,373.5,41030,373.5,40883,Yes,Month-to-month,Electronic check,OnlineSecurity,No
Cust5316,No,India,Maharashtra,0,1,1,Masters,Female,564.75,41030,9412.75,40433,Yes,Month-to-month,Electronic check,HasPhoneService,1
Cust2377,No,India,Maharashtra,0,2,1,Highschool or below,Male,397.25,41030,27512.75,38843,Yes,Two year,Credit card (automatic),DeviceProtection,Yes
Cust3962,Yes,India,Maharashtra,0,1,2,Masters,Female,122.25,41030,2414,40313,Yes,Month-to-month,Electronic check,OnlineSecurity,No
Cust1260,No,India,Maharashtra,0,1,1,Masters,Male,427.25,41030,30149.5,38783,No,Two year,Bank transfer (automatic),InternetServiceCategory,DSL
Cust6356,No,India,Maharashtra,1,2,2,Graduation,Male,227,41030,1073.75,40763,No,Month-to-month,Credit card (automatic),TechnicalSupport,Yes
Cust5486,No,India,Maharashtra,0,2,2,Highschool or below,Female,99.75,41030,290,40823,No,Month-to-month,Mailed check,HasPhoneService,1
Cust2285,No,India,Maharashtra,0,1,1,Masters,Female,97.5,41030,1360,40493,Yes,One year,Mailed check,InternetServiceCategory,No
Cust5715,No,India,Maharashtra,0,2,2,Masters,Female,269,41030,1419.75,40763,Yes,Month-to-month,Electronic check,OnlineSecurity,Yes
Cust2749,Yes,India,Maharashtra,0,2,2,Highschool or below,Female,353.75,41030,734.5,40853,Yes,Month-to-month,Electronic check,InternetServiceCategory,DSL
Cust2858,No,India,Maharashtra,0,1,2,Masters,Male,380.5,41030,24094,38993,Yes,Two year,Bank transfer (automatic),InternetServiceCategory,DSL
Cust5099,Yes,India,Maharashtra,0,1,2,Graduation,Male,301.5,41030,17819,39173,No,One year,Credit card (automatic),OnlineSecurity,Yes
Cust3354,No,India,Maharashtra,0,2,2,Masters,Female,177,41030,2252,40523,No,Two year,Mailed check,TechnicalSupport,Yes
Cust1814,No,India,Maharashtra,0,2,2,ProfessionalQalification,Female,124.75,41030,6440,39383,No,Two year,Bank transfer (automatic),StreamingTelevision,No internet service
Cust5377,Yes,India,Maharashtra,0,2,2,ProfessionalQalification,Female,228.25,41030,955.25,40793,No,Month-to-month,Mailed check,OnlineSecurity,No
Cust2356,No,India,Maharashtra,0,1,1,ProfessionalQalification,Female,373.5,41030,15938.25,39683,Yes,One year,Credit card (automatic),StreamingMovies,Yes
Cust6275,No,India,Maharashtra,0,1,1,Masters,Male,97.25,41030,3372.75,39953,Yes,Month-to-month,Credit card (automatic),OnlineBackup,No internet service
Cust6166,No,India,Maharashtra,0,2,2,Masters,Male,571.75,41030,28955.5,39413,No,One year,Credit card (automatic),DeviceProtection,Yes
Cust3575,No,India,Maharashtra,0,1,2,ProfessionalQalification,Female,238,41030,16889,38783,Yes,Two year,Bank transfer (automatic),HasPhoneService,0
Cust5706,No,India,Maharashtra,0,2,2,ProfessionalQalification,Female,450.25,41030,29829.75,38933,Yes,Two year,Credit card (automatic),OnlineBackup,Yes
Cust6441,No,India,Maharashtra,0,2,2,Highschool or below,Female,252.75,41030,14163.75,39263,Yes,Month-to-month,Credit card (automatic),OnlineSecurity,Yes
Cust5753,No,India,Maharashtra,1,1,2,Masters,Male,123.5,41030,5871.75,39563,No,One year,Credit card (automatic),OnlineSecurity,No internet service
Cust2550,No,India,Maharashtra,0,1,1,Masters,Male,348.25,41030,17210.75,39413,Yes,One year,Electronic check,TechnicalSupport,Yes
Cust3638,No,India,Maharashtra,0,1,2,ProfessionalQalification,Male,557.25,41030,26575.5,39473,Yes,Month-to-month,Bank transfer (automatic),DeviceProtection,Yes
Cust6432,No,India,Maharashtra,0,1,1,ProfessionalQalification,Female,123.25,41030,2356.75,40373,Yes,Two year,Credit card (automatic),TechnicalSupport,No internet service
Cust3865,No,India,Maharashtra,1,1,1,Highschool or below,Male,449.25,41030,25628.75,39173,Yes,One year,Bank transfer (automatic),TechnicalSupport,Yes
Cust3215,No,India,Maharashtra,0,1,1,Graduation,Male,254,41030,6934,40073,No,One year,Mailed check,TechnicalSupport,Yes
Cust2157,No,India,Maharashtra,0,1,2,Masters,Female,100.25,41030,4615.5,39443,Yes,One year,Bank transfer (automatic),InternetServiceCategory,No
Cust2399,Yes,India,Maharashtra,0,2,2,Highschool or below,Male,397.75,41030,397.75,40883,Yes,Month-to-month,Electronic check,MultipleLines,No
Cust4829,No,India,Maharashtra,0,2,2,ProfessionalQalification,Female,96.5,41030,222,40853,No,Month-to-month,Mailed check,InternetServiceCategory,No
Cust3770,Yes,India,Maharashtra,0,2,2,Highschool or below,Female,427,41030,2129.5,40763,Yes,Month-to-month,Credit card (automatic),TechnicalSupport,Yes
Cust1803,No,India,Maharashtra,0,1,2,Graduation,Female,99.25,41030,6641.75,38813,No,Two year,Credit card (automatic),HasPhoneService,1
Cust1228,No,India,Maharashtra,0,1,2,Graduation,Female,100.75,41030,2284.25,40193,No,One year,Mailed check,OnlineSecurity,No internet service
Cust2737,No,India,Maharashtra,0,2,2,ProfessionalQalification,Male,98.75,41030,196.5,40853,No,Month-to-month,Mailed check,HasPhoneService,1
Cust5607,No,India,Maharashtra,0,2,2,Masters,Male,126.25,41030,2832.5,40253,No,Two year,Mailed check,DeviceProtection,No internet service
Cust3983,Yes,India,Maharashtra,0,2,2,Highschool or below,Female,373.75,41030,3998.25,40613,Yes,Month-to-month,Electronic check,InternetServiceCategory,Fiber optic
Cust3803,No,India,Maharashtra,1,2,2,Masters,Male,223.5,41030,1382.5,40733,No,Month-to-month,Credit card (automatic),StreamingMovies,No
Cust4374,No,India,Maharashtra,0,1,2,Graduation,Female,374,41030,7190.25,40373,No,Month-to-month,Electronic check,TechnicalSupport,No
Cust3900,No,India,Maharashtra,0,1,2,Masters,Female,100.5,41030,922,40613,No,One year,Mailed check,DeviceProtection,No internet service
Cust6164,No,India,Maharashtra,0,1,1,Highschool or below,Male,226.25,41030,15699,38753,No,Two year,Credit card (automatic),OnlineBackup,Yes
Cust3889,No,India,Maharashtra,0,2,2,ProfessionalQalification,Female,125.25,41030,949.75,40703,No,Month-to-month,Bank transfer (automatic),TechnicalSupport,No
Cust4396,No,India,Maharashtra,0,2,1,Highschool or below,Female,98.5,41030,1081,40583,No,Month-to-month,Credit card (automatic),DeviceProtection,No internet service
Cust3631,Yes,India,Maharashtra,1,2,2,Highschool or below,Male,477.25,41030,17370.25,39863,Yes,Month-to-month,Electronic check,StreamingTelevision,Yes
Cust4904,No,India,Maharashtra,0,2,1,Highschool or below,Male,170.25,41030,5569.75,39923,No,One year,Credit card (automatic),HasPhoneService,0
Cust3466,Yes,India,Maharashtra,0,2,2,Masters,Female,446.75,41030,2308.5,40763,Yes,Month-to-month,Electronic check,DeviceProtection,No
Cust5638,No,India,Maharashtra,0,2,2,ProfessionalQalification,Female,426.75,41030,14483,39893,No,Month-to-month,Electronic check,StreamingTelevision,Yes
Cust2848,No,India,Maharashtra,0,2,2,Graduation,Female,154.25,41030,1970.5,40523,Yes,Month-to-month,Bank transfer (automatic),DeviceProtection,No
Cust5238,No,India,Maharashtra,1,1,2,Masters,Female,252,41030,7900.5,39983,Yes,One year,Credit card (automatic),StreamingTelevision,No
Cust4121,No,India,Maharashtra,1,1,2,ProfessionalQalification,Male,419.25,41030,27944,38903,No,Month-to-month,Bank transfer (automatic),OnlineBackup,Yes
Cust4552,No,India,Maharashtra,0,1,1,Graduation,Female,244,41030,1749,40703,No,Month-to-month,Electronic check,OnlineSecurity,No
Cust4233,No,India,Maharashtra,0,2,2,Masters,Male,105.5,41030,105.5,40883,No,Month-to-month,Mailed check,StreamingMovies,No internet service
Cust6035,Yes,India,Maharashtra,1,2,2,Highschool or below,Male,380.25,41030,1159,40823,Yes,Month-to-month,Electronic check,HasPhoneService,1
Cust4334,Yes,India,Maharashtra,0,2,2,Graduation,Male,230.25,41030,401.75,40853,No,Month-to-month,Bank transfer (automatic),HasPhoneService,1
Cust1579,Yes,India,Maharashtra,0,2,2,Highschool or below,Male,227.75,41030,2985,40523,Yes,Month-to-month,Credit card (automatic),OnlineBackup,No
Cust4068,No,India,Maharashtra,0,2,2,ProfessionalQalification,Male,222.25,41030,10907.75,39383,Yes,Month-to-month,Credit card (automatic),OnlineSecurity,Yes
Cust1701,No,India,Maharashtra,0,1,1,Graduation,Male,486,41030,34551.5,38783,Yes,Two year,Electronic check,TechnicalSupport,No
Cust5223,No,India,Maharashtra,1,2,2,ProfessionalQalification,Male,229.25,41030,229.25,40883,Yes,Month-to-month,Mailed check,HasPhoneService,1
Cust6445,No,India,Maharashtra,0,1,1,Highschool or below,Male,103.25,41030,6092.25,39053,No,Two year,Credit card (automatic),OnlineSecurity,No internet service
Cust5653,No,India,Maharashtra,0,1,2,Masters,Female,522.25,41030,20810.25,39683,Yes,One year,Bank transfer (automatic),StreamingMovies,Yes
Cust3985,No,India,Maharashtra,0,2,2,Masters,Male,103.75,41030,221,40853,No,Month-to-month,Mailed check,OnlineSecurity,No internet service
Cust4574,No,India,Maharashtra,0,1,1,Graduation,Male,297.5,41030,20724,38813,No,Two year,Bank transfer (automatic),HasPhoneService,0
Cust6024,No,India,Maharashtra,1,1,2,ProfessionalQalification,Male,424,41030,11547.75,40103,Yes,Month-to-month,Bank transfer (automatic),InternetServiceCategory,DSL
Cust1221,No,India,Maharashtra,0,1,2,Masters,Female,424.5,41030,30326.5,38753,Yes,Two year,Bank transfer (automatic),MultipleLines,Yes
Cust1621,No,India,Maharashtra,0,1,1,Highschool or below,Male,488.5,41030,17050,39893,Yes,Month-to-month,Bank transfer (automatic),InternetServiceCategory,Fiber optic
Cust5311,Yes,India,Maharashtra,1,1,2,Masters,Male,372,41030,372,40883,Yes,Month-to-month,Electronic check,TechnicalSupport,No
Cust6407,No,India,Maharashtra,0,1,2,Graduation,Female,432.25,41030,28814.75,38873,No,One year,Credit card (automatic),TechnicalSupport,No
Cust3013,No,India,Maharashtra,0,1,1,Graduation,Female,122.5,41030,7489.5,39173,Yes,One year,Credit card (automatic),OnlineSecurity,No internet service
Cust4045,Yes,India,Maharashtra,1,2,2,Highschool or below,Male,507,41030,17481.5,39863,Yes,Month-to-month,Electronic check,OnlineBackup,No
Cust4473,Yes,India,Maharashtra,1,2,2,Graduation,Female,402.25,41030,26121.75,38933,Yes,Month-to-month,Credit card (automatic),OnlineBackup,Yes
Cust3053,No,India,Maharashtra,0,2,1,Highschool or below,Female,324,41030,5833.5,40373,No,Month-to-month,Electronic check,OnlineBackup,No
Cust1428,No,India,Maharashtra,0,1,1,Masters,Female,481.75,41030,19577,39713,Yes,Month-to-month,Credit card (automatic),TechnicalSupport,No
Cust6279,No,India,Maharashtra,0,1,2,Highschool or below,Male,536,41030,36585.5,38843,Yes,One year,Credit card (automatic),OnlineSecurity,Yes
Cust2440,Yes,India,Maharashtra,1,1,2,Masters,Male,554.25,41030,37458.75,38933,Yes,One year,Electronic check,StreamingMovies,Yes
Cust3715,Yes,India,Maharashtra,0,2,1,Graduation,Female,398,41030,398,40883,Yes,Month-to-month,Electronic check,OnlineSecurity,No
Cust2161,No,India,Maharashtra,0,2,2,ProfessionalQalification,Female,249,41030,5245.25,40253,Yes,Month-to-month,Electronic check,StreamingMovies,No
Cust1754,No,India,Maharashtra,0,1,2,Graduation,Male,411.5,41030,29902.75,38753,Yes,Two year,Bank transfer (automatic),TechnicalSupport,Yes
Cust6192,No,India,Maharashtra,0,2,2,Graduation,Female,129,41030,7819.75,39053,Yes,Two year,Credit card (automatic),TechnicalSupport,No internet service
Cust6191,No,India,Maharashtra,0,1,1,Graduation,Male,395.75,41030,17833,39623,Yes,Two year,Credit card (automatic),OnlineBackup,No
Cust4726,No,India,Maharashtra,0,1,2,Masters,Male,270.5,41030,18972.5,38873,Yes,Two year,Bank transfer (automatic),MultipleLines,No phone service
Cust3733,No,India,Maharashtra,0,2,1,Highschool or below,Female,101.5,41030,3777,39803,No,One year,Bank transfer (automatic),HasPhoneService,1
Cust3590,Yes,India,Maharashtra,0,2,2,Graduation,Male,511.75,41030,18130.5,39863,Yes,One year,Bank transfer (automatic),DeviceProtection,Yes
Cust5803,Yes,India,Maharashtra,0,2,2,Graduation,Male,432.75,41030,3248.25,40673,Yes,Month-to-month,Electronic check,HasPhoneService,1
Cust2438,No,India,Maharashtra,0,2,2,Graduation,Male,374.25,41030,2862.25,40673,Yes,Month-to-month,Electronic check,MultipleLines,Yes
Cust2980,No,India,Maharashtra,1,1,2,Graduation,Male,371,41030,700.5,40853,Yes,Month-to-month,Electronic check,InternetServiceCategory,Fiber optic
Cust1689,No,India,Maharashtra,0,2,2,Highschool or below,Female,378.25,41030,1511.75,40793,Yes,Month-to-month,Electronic check,OnlineBackup,No
Cust2188,No,India,Maharashtra,0,1,2,Graduation,Female,522,41030,26164.5,39413,Yes,One year,Mailed check,StreamingTelevision,Yes
Cust4616,No,India,Maharashtra,0,2,2,Graduation,Male,309.5,41030,13235.5,39713,Yes,Month-to-month,Mailed check,StreamingTelevision,No
Cust4305,Yes,India,Maharashtra,0,2,2,Highschool or below,Female,350,41030,5722.5,40403,Yes,Month-to-month,Electronic check,OnlineSecurity,No
Cust2001,No,India,Maharashtra,1,1,2,Graduation,Female,225,41030,6143.25,40043,Yes,Month-to-month,Electronic check,StreamingTelevision,No
Cust2272,No,India,Maharashtra,0,2,2,Masters,Female,502.25,41030,15484.5,40013,No,Month-to-month,Electronic check,DeviceProtection,Yes
Cust2839,No,India,Maharashtra,0,1,1,Highschool or below,Female,99.5,41030,6946.75,38783,No,Two year,Bank transfer (automatic),InternetServiceCategory,No
Cust2303,No,India,Maharashtra,0,2,2,Graduation,Male,583,41030,35247.5,39113,Yes,One year,Credit card (automatic),TechnicalSupport,Yes
Cust3894,Yes,India,Maharashtra,0,1,2,Graduation,Male,527.75,41030,31407.25,39083,Yes,Month-to-month,Electronic check,StreamingTelevision,Yes
Cust2287,No,India,Maharashtra,0,1,1,ProfessionalQalification,Female,106.5,41030,5209,39503,Yes,Two year,Bank transfer (automatic),StreamingTelevision,No internet service
Cust5851,No,India,Maharashtra,1,1,2,Masters,Male,377.75,41030,12127,39893,Yes,Month-to-month,Electronic check,InternetServiceCategory,Fiber optic
Cust5108,No,India,Maharashtra,0,1,1,Masters,Male,98,41030,2133.25,40223,No,Two year,Credit card (automatic),HasPhoneService,1
Cust5266,No,India,Maharashtra,0,2,2,ProfessionalQalification,Male,379.25,41030,3623.25,40643,Yes,Month-to-month,Electronic check,DeviceProtection,No
Cust4673,Yes,India,Maharashtra,0,1,1,Graduation,Male,241.75,41030,5335.75,40223,Yes,One year,Credit card (automatic),StreamingMovies,No
Cust1978,No,India,Maharashtra,0,2,2,Masters,Female,501.5,41030,22419.75,39563,Yes,One year,Electronic check,StreamingMovies,Yes
Cust2945,No,India,Maharashtra,0,1,1,ProfessionalQalification,Male,377.5,41030,9505.25,40163,Yes,Month-to-month,Electronic check,MultipleLines,No
Cust4776,Yes,India,Maharashtra,1,1,1,Highschool or below,Male,497.5,41030,34110.75,38933,Yes,Month-to-month,Credit card (automatic),StreamingTelevision,Yes
Cust4023,No,India,Maharashtra,1,2,2,Masters,Female,550.5,41030,38733.5,38753,Yes,Two year,Bank transfer (automatic),OnlineSecurity,Yes
Cust2025,No,India,Maharashtra,0,1,1,Graduation,Female,503,41030,28058.5,39203,Yes,Month-to-month,Electronic check,InternetServiceCategory,Fiber optic
Cust2498,No,India,Maharashtra,1,1,2,Highschool or below,Male,504,41030,17187.5,39863,Yes,Month-to-month,Electronic check,StreamingTelevision,Yes
Cust3402,No,India,Maharashtra,0,1,2,Masters,Male,477,41030,17371,39833,Yes,Month-to-month,Electronic check,HasPhoneService,1
Cust3319,No,India,Maharashtra,0,1,2,ProfessionalQalification,Male,483,41030,13421.75,40073,No,Month-to-month,Credit card (automatic),DeviceProtection,Yes
Cust4485,No,India,Maharashtra,0,1,1,Graduation,Male,98.75,41030,1567,40433,No,Month-to-month,Electronic check,OnlineSecurity,No internet service
Cust3191,Yes,India,Maharashtra,0,1,1,Highschool or below,Female,427.25,41030,7258,40403,Yes,Month-to-month,Electronic check,MultipleLines,Yes
Cust6175,No,India,Maharashtra,0,1,1,Highschool or below,Male,100.25,41030,6801.25,38813,No,Two year,Credit card (automatic),StreamingTelevision,No internet service
Cust3965,Yes,India,Maharashtra,1,2,2,Highschool or below,Female,228.5,41030,990,40763,No,Month-to-month,Electronic check,HasPhoneService,0
Cust1778,Yes,India,Maharashtra,0,2,2,Graduation,Male,96.75,41030,5498,39143,No,Two year,Mailed check,StreamingTelevision,No internet service
Cust1320,Yes,India,Maharashtra,0,2,2,Graduation,Male,349.5,41030,349.5,40883,Yes,Month-to-month,Electronic check,MultipleLines,No
Cust3473,No,India,Maharashtra,0,2,2,Highschool or below,Female,119.5,41030,487.5,40793,No,One year,Electronic check,StreamingTelevision,No internet service
Cust2370,Yes,India,Maharashtra,0,2,2,Masters,Male,402.5,41030,10444,40133,Yes,Month-to-month,Electronic check,HasPhoneService,1
Cust3928,No,India,Maharashtra,0,1,2,Highschool or below,Female,431,41030,16695.25,39683,Yes,One year,Bank transfer (automatic),OnlineSecurity,No
Cust5012,No,India,Maharashtra,1,2,2,Masters,Female,103.25,41030,1653,40403,No,One year,Mailed check,OnlineBackup,No internet service
Cust5685,No,India,Maharashtra,0,1,2,Graduation,Female,516,41030,28721.75,39233,No,Two year,Bank transfer (automatic),StreamingMovies,Yes
Cust6436,No,India,Maharashtra,0,2,2,Highschool or below,Female,99.25,41030,5248,39323,No,Two year,Credit card (automatic),OnlineSecurity,No internet service
Cust5704,Yes,India,Maharashtra,1,2,2,ProfessionalQalification,Female,506.75,41030,3902.5,40673,No,Month-to-month,Electronic check,DeviceProtection,Yes
Cust6065,No,India,Maharashtra,0,1,1,Highschool or below,Male,128.75,41030,6729.25,39353,No,Two year,Mailed check,MultipleLines,Yes
Cust2925,No,India,Maharashtra,0,1,2,Masters,Female,130,41030,3420.25,40133,No,One year,Mailed check,TechnicalSupport,No internet service
Cust2193,Yes,India,Maharashtra,0,2,2,Graduation,Male,424.5,41030,15336,39833,Yes,Month-to-month,Electronic check,MultipleLines,Yes
Cust1300,No,India,Maharashtra,0,1,1,ProfessionalQalification,Male,403.25,41030,27712.75,38843,No,Two year,Bank transfer (automatic),MultipleLines,No
Cust5976,No,India,Maharashtra,0,1,2,Masters,Male,497,41030,25298.75,39413,No,One year,Electronic check,DeviceProtection,No
Cust2279,Yes,India,Maharashtra,0,2,2,Highschool or below,Female,526,41030,22003.75,39653,Yes,Month-to-month,Electronic check,HasPhoneService,1
Cust6176,No,India,Maharashtra,0,1,2,Highschool or below,Female,478.25,41030,33721,38843,Yes,One year,Credit card (automatic),StreamingTelevision,Yes
Cust2149,No,India,Maharashtra,0,1,1,Highschool or below,Male,122.25,41030,7158.25,39233,Yes,One year,Mailed check,DeviceProtection,No internet service
Cust6292,No,India,Maharashtra,0,2,2,Highschool or below,Male,103.25,41030,2977.5,40133,Yes,One year,Credit card (automatic),StreamingTelevision,No internet service
Cust4010,No,India,Maharashtra,0,1,1,Highschool or below,Female,128.25,41030,6940,39263,Yes,Two year,Credit card (automatic),OnlineBackup,No internet service
Cust5010,No,India,Maharashtra,0,2,2,Highschool or below,Male,102.25,41030,102.25,40883,Yes,Month-to-month,Mailed check,InternetServiceCategory,No
Cust2798,No,India,Maharashtra,0,2,2,ProfessionalQalification,Female,271.25,41030,2238.75,40673,No,One year,Bank transfer (automatic),StreamingTelevision,No
Cust1953,No,India,Maharashtra,0,1,1,Graduation,Male,124,41030,6145.5,39353,No,Two year,Mailed check,DeviceProtection,No internet service
Cust5387,No,India,Maharashtra,0,1,2,Highschool or below,Female,365.25,41030,9797.5,40133,Yes,Month-to-month,Electronic check,InternetServiceCategory,DSL
Cust6377,No,India,Maharashtra,0,1,2,Graduation,Female,533.25,41030,25871.75,39443,No,Two year,Credit card (automatic),DeviceProtection,Yes
Cust4838,Yes,India,Maharashtra,0,2,2,Highschool or below,Female,224.5,41030,224.5,40883,Yes,Month-to-month,Bank transfer (automatic),DeviceProtection,No
Cust3361,No,India,Maharashtra,0,2,2,Highschool or below,Female,100.75,41030,422.5,40793,No,Month-to-month,Mailed check,StreamingTelevision,No internet service
Cust6337,No,India,Maharashtra,0,2,2,Highschool or below,Female,100.75,41030,342.25,40793,Yes,Month-to-month,Credit card (automatic),OnlineSecurity,No internet service
Cust5568,No,India,Maharashtra,0,1,2,Highschool or below,Male,124,41030,9371.5,38753,No,Two year,Credit card (automatic),HasPhoneService,1
